"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"C-4450.8601A","ECI1.A-TC22.F_CV","14/02/2021","75.56652"
"C-4450.8601A","ECI1.A-TC22.F_CV","15/02/2021","75.58481"
"C-4450.8601A","ECI1.A-TC22.F_CV","16/02/2021","73.16719"
"C-4450.8601A","ECI1.A-TC22.F_CV","17/02/2021","74.6128"
"C-4450.8601A","ECI1.A-TC22.F_CV","18/02/2021","76.51445"
"C-4450.8601A","ECI1.A-TC22.F_CV","19/02/2021","77.36979"
"C-4450.8601A","ECI1.A-TC22.F_CV","20/02/2021","80.51836"
"C-4450.8601A","ECI1.A-TC22.F_CV","21/02/2021","80.89606"
"C-4450.8601A","ECI1.A-TC22.F_CV","22/02/2021","75.27916"
"C-4450.8601A","ECI1.A-TC22.F_CV","23/02/2021","76.92695"
"C-4450.8601A","ECI1.A-TC22.F_CV","26/02/2021","72.97214"
"C-4450.8601A","ECI1.A-TC22.F_CV","27/02/2021","74.40455"
"C-4450.8601A","ECI1.A-TC22.F_CV","28/02/2021","73.8246"
"C-4450.8601A","ECI1.A-TC22.F_CV","01/03/2021","78.31771"
"C-4450.8601A","ECI1.A-TC22.F_CV","02/03/2021","77.38012"
"C-4450.8601A","ECI1.A-TC22.F_CV","03/03/2021","74.85465"
"C-4450.8601A","ECI1.A-TC22.F_CV","04/03/2021","78.49"
"C-4450.8601A","ECI1.A-TC22.F_CV","05/03/2021","81.33707"
"C-4450.8601A","ECI1.A-TC22.F_CV","06/03/2021","74.32637"
"C-4450.8601A","ECI1.A-TC22.F_CV","07/03/2021","74.99433"
"C-4450.8601A","ECI1.A-TC22.F_CV","08/03/2021","75.80353"
"C-4450.8601A","ECI1.A-TC22.F_CV","09/03/2021","77.68628"
"C-4450.8601A","ECI1.A-TC22.F_CV","10/03/2021","75.70045"
"C-4450.8601A","ECI1.A-TC22.F_CV","11/03/2021","74.91106"
"C-4450.8601A","ECI1.A-TC22.F_CV","12/03/2021","73.39903"
"C-4450.8601A","ECI1.A-TC22.F_CV","13/03/2021","74.16596"
"C-4450.8601A","ECI1.A-TC22.F_CV","14/03/2021","75.73591"
"C-4450.8601A","ECI1.A-TC22.F_CV","15/03/2021","75.28492"
"C-4450.8601A","ECI1.A-TC22.F_CV","16/03/2021","75.41365"
"C-4450.8601A","ECI1.A-TC22.F_CV","17/03/2021","78.64346"
"C-4450.8601A","ECI1.A-TC22.F_CV","20/03/2021","75.505"
"C-4450.8601A","ECI1.A-TC22.F_CV","21/03/2021","73.30301"
