"DATA","TEMPERATURA"
"24/01/2021","43.75464"
"24/01/2021","52.20128"
"27/01/2021","42.71892"
"27/01/2021","49.07836"
"28/01/2021","49.63606"
"28/01/2021","42.38255"
"29/01/2021","43.37442"
"29/01/2021","50.01913"
"30/01/2021","49.03103"
"30/01/2021","54.43315"
"31/01/2021","53.73257"
"31/01/2021","46.44635"
"01/02/2021","43.36322"
"01/02/2021","50.90809"
"02/02/2021","53.43272"
"02/02/2021","45.65807"
"03/02/2021","51.12807"
"03/02/2021","43.95481"
"04/02/2021","48.14669"
"04/02/2021","54.59315"
"26/02/2021","42.41667"
"26/02/2021","50.12919"
"27/02/2021","49.38965"
"27/02/2021","42.7041"
"28/02/2021","48.06565"
"28/02/2021","41.54336"
"02/03/2021","48.86885"
"02/03/2021","41.01707"
"03/03/2021","43.10746"
"03/03/2021","50.48043"
"04/03/2021","51.0965"
"04/03/2021","42.31787"
"05/03/2021","51.29329"
"05/03/2021","39.56999"
"06/03/2021","52.14475"
"06/03/2021","43.54977"
"07/03/2021","50.04378"
"07/03/2021","40.94438"
"08/03/2021","47.99737"
"08/03/2021","40.66308"
"09/03/2021","33.19757"
"09/03/2021","45.19788"
"10/03/2021","49.22598"
"10/03/2021","40.32885"
"11/03/2021","50.30208"
"11/03/2021","40.50824"
"12/03/2021","51.51168"
"12/03/2021","43.43152"
"13/03/2021","52.52348"
"13/03/2021","43.95251"
"14/03/2021","41.88565"
"14/03/2021","50.65887"
"15/03/2021","49.70738"
"15/03/2021","40.41767"
"16/03/2021","51.71233"
"16/03/2021","43.20373"
"17/03/2021","42.07772"
"17/03/2021","51.94876"
"20/03/2021","52.54835"
"20/03/2021","43.5025"
"21/03/2021","51.18685"
"21/03/2021","43.48255"
"22/03/2021","40.26724"
"22/03/2021","51.68699"
"23/03/2021","44.87318"
"23/03/2021","53.14036"
"24/03/2021","44.78441"
"24/03/2021","53.07488"
"25/03/2021","51.92134"
"25/03/2021","42.25328"
"27/03/2021","52.7686"
"27/03/2021","44.67521"
"28/03/2021","52.80912"
"28/03/2021","44.54439"
"30/03/2021","40.05842"
"30/03/2021","49.44479"
"31/03/2021","41.19971"
"31/03/2021","50.19411"
"01/04/2021","38.85783"
"01/04/2021","49.00404"
"02/04/2021","50.91602"
"02/04/2021","41.97991"
"03/04/2021","47.92759"
"03/04/2021","41.3453"
"05/04/2021","30.58572"
"05/04/2021","44.90337"
"06/04/2021","48.91176"
"06/04/2021","39.59104"
"07/04/2021","50.61088"
"07/04/2021","40.00996"
"08/04/2021","51.61054"
"08/04/2021","41.88155"
"09/04/2021","47.43316"
"09/04/2021","37.18842"
"10/04/2021","50.39152"
"10/04/2021","40.97379"
"11/04/2021","42.44871"
"11/04/2021","52.11482"
"12/04/2021","49.58078"
"12/04/2021","41.04012"
"13/04/2021","39.82839"
"13/04/2021","50.58412"
"14/04/2021","51.37671"
"14/04/2021","40.70911"
"15/04/2021","40.63235"
"15/04/2021","51.805"
"16/04/2021","40.06868"
"16/04/2021","51.24489"
"17/04/2021","51.20511"
"17/04/2021","40.94366"
"18/04/2021","50.65781"
"18/04/2021","39.98723"
"19/04/2021","38.36393"
"19/04/2021","50.00251"
"20/04/2021","49.77981"
"20/04/2021","38.3543"
"21/04/2021","37.34635"
"21/04/2021","49.46713"
"22/04/2021","47.60402"
"22/04/2021","36.01852"
"24/04/2021","50.19627"
"24/04/2021","39.51277"
"25/04/2021","49.49261"
"25/04/2021","38.99643"
"26/04/2021","38.23284"
"26/04/2021","50.7509"
"27/04/2021","39.32025"
"27/04/2021","49.95561"
"28/04/2021","38.32156"
"28/04/2021","48.99527"
"29/04/2021","38.22162"
"29/04/2021","49.31885"
"30/04/2021","49.38244"
"30/04/2021","38.65045"
"01/05/2021","49.20291"
"01/05/2021","38.16414"
"02/05/2021","47.67836"
"02/05/2021","35.7202"
"04/05/2021","38.29255"
"04/05/2021","48.63131"
"05/05/2021","50.46155"
"05/05/2021","41.19729"
"07/05/2021","49.62178"
"07/05/2021","38.55973"
"08/05/2021","48.39111"
"08/05/2021","37.42665"
"09/05/2021","49.79881"
"09/05/2021","39.36027"
"10/05/2021","38.49173"
"10/05/2021","48.32166"
"11/05/2021","38.25198"
"11/05/2021","48.71874"
"12/05/2021","48.56978"
"12/05/2021","38.70309"
"13/05/2021","35.93835"
"13/05/2021","47.90442"
"14/05/2021","37.09357"
"14/05/2021","47.57663"
"15/05/2021","49.29145"
"15/05/2021","39.61652"
"16/05/2021","40.20969"
"16/05/2021","49.3412"
"17/05/2021","49.32617"
"17/05/2021","40.18834"
"19/05/2021","34.64151"
"19/05/2021","46.98327"
"20/05/2021","32.9509"
"20/05/2021","48.35756"
"21/05/2021","37.95052"
"21/05/2021","48.61181"
"22/05/2021","39.4468"
"22/05/2021","48.97881"
"23/05/2021","42.97851"
"23/05/2021","52.36422"
"24/05/2021","50.10955"
"24/05/2021","41.8961"
"25/05/2021","36.81181"
"25/05/2021","48.82475"
"26/05/2021","34.33992"
"26/05/2021","48.08411"
"27/05/2021","35.59692"
"27/05/2021","48.01525"
"28/05/2021","49.50377"
"28/05/2021","36.78789"
"29/05/2021","41.61753"
"29/05/2021","52.48041"
