"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","03/03/2021","654.64808"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","04/03/2021","659.45239"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","05/03/2021","659.624"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","06/03/2021","660.18471"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","07/03/2021","632.58477"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","08/03/2021","499.24745"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","09/03/2021","553.30046"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","10/03/2021","656.68328"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","11/03/2021","664.01161"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","12/03/2021","666.92877"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","13/03/2021","655.23061"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","14/03/2021","662.75772"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","15/03/2021","657.01149"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","16/03/2021","663.44797"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","17/03/2021","662.19118"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","20/03/2021","662.98243"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","21/03/2021","663.88236"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","22/03/2021","658.12271"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","23/03/2021","663.15644"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","24/03/2021","666.00581"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","25/03/2021","666.24414"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","27/03/2021","664.09876"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","28/03/2021","663.02594"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","29/03/2021","663.1235"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","30/03/2021","663.34384"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","31/03/2021","666.76795"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","01/04/2021","612.99987"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","02/04/2021","679.09705"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","03/04/2021","681.70501"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","04/04/2021","679.13632"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","05/04/2021","681.88132"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","06/04/2021","678.22131"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","07/04/2021","694.91827"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","08/04/2021","665.0278"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","09/04/2021","667.96706"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","10/04/2021","662.47562"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","11/04/2021","665.16351"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","12/04/2021","675.12854"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","13/04/2021","674.60753"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","14/04/2021","677.71004"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","15/04/2021","655.77005"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","16/04/2021","651.49695"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","17/04/2021","650.00169"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","18/04/2021","659.14743"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","19/04/2021","652.03028"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","20/04/2021","655.38883"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","21/04/2021","651.18874"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","22/04/2021","661.08849"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","24/04/2021","660.51085"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","25/04/2021","661.50973"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","26/04/2021","662.50554"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","27/04/2021","657.09138"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","28/04/2021","631.17967"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","29/04/2021","648.40322"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","30/04/2021","649.51368"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","01/05/2021","650.55977"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","02/05/2021","647.42633"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","03/05/2021","642.33495"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","04/05/2021","639.55175"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","05/05/2021","646.43477"
