EQUIPAMENTO,MANCAL,WINDOW,OUTPUT,NUM. CAMADAS,NUM. NEURONIOS CAMADA 1,NUM. NEURONIOS CAMADA 2,NUM. NEURONIOS CAMADA 3,DROUPOUT,OTIMIZADOR,EPOCHS,BATCH_SIZE,RMSE,MSE,MAPE
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,120,60,40,0.300000,Adam,800,32,1.317403,1.735550,1.497015
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,120,60,40,0.300000,Adadelta,800,32,3.016473,9.099110,3.634155
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,120,60,40,0.350000,Adam,800,32,1.776259,3.155097,2.158125
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,120,60,40,0.350000,Adadelta,800,32,2.926377,8.563680,3.501142
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,80,80,60,0.200000,Adam,800,32,1.362218,1.855638,1.635286
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,80,80,60,0.200000,Adadelta,800,32,2.881309,8.301943,3.432424
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,80,80,60,0.250000,Adam,800,32,1.490549,2.221738,1.842486
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,80,80,60,0.250000,Adadelta,800,32,2.859057,8.174204,3.399010
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,80,80,60,0.300000,Adam,800,32,1.369152,1.874576,1.458116
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,80,80,60,0.300000,Adadelta,800,32,2.743494,7.526760,3.224103
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,80,80,60,0.350000,Adam,800,32,1.517043,2.301420,1.895297
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,80,80,60,0.350000,Adadelta,800,32,2.862767,8.195436,3.404457
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,150,80,80,0.200000,Adam,800,32,2.587670,6.696037,3.013215
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,150,80,80,0.200000,Adadelta,800,32,2.843528,8.085651,3.375729
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,150,80,80,0.250000,Adam,800,32,2.586487,6.689914,3.026512
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,150,80,80,0.250000,Adadelta,800,32,2.828621,8.001099,3.356380
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,150,80,80,0.300000,Adam,800,32,2.547760,6.491082,2.961023
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,150,80,80,0.300000,Adadelta,800,32,2.881261,8.301664,3.438126
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,150,80,80,0.350000,Adam,800,32,2.429578,5.902847,2.822822
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,150,80,80,0.350000,Adadelta,800,32,2.866414,8.216331,3.411214
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,120,60,40,0.200000,Adam,800,32,2.566904,6.588996,2.989398
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,120,60,40,0.200000,Adadelta,800,32,2.926901,8.566752,3.503500
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,120,60,40,0.250000,Adam,800,32,2.468077,6.091405,2.870333
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,120,60,40,0.250000,Adadelta,800,32,3.075410,9.458144,3.730494
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,120,60,40,0.300000,Adam,800,32,2.334552,5.450131,2.711038
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,120,60,40,0.300000,Adadelta,800,32,3.035343,9.213310,3.667847
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,120,60,40,0.350000,Adam,800,32,2.438119,5.944425,2.829766
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,120,60,40,0.350000,Adadelta,800,32,2.929036,8.579251,3.502179
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,80,80,60,0.200000,Adam,800,32,2.439086,5.949139,2.818423
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,80,80,60,0.200000,Adadelta,800,32,3.007075,9.042501,3.626065
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,80,80,60,0.250000,Adam,800,32,2.436728,5.937644,2.819768
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,80,80,60,0.250000,Adadelta,800,32,2.974613,8.848324,3.574485
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,80,80,60,0.300000,Adam,800,32,2.233402,4.988087,2.600219
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,80,80,60,0.300000,Adadelta,800,32,2.956343,8.739962,3.549954
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,80,80,60,0.350000,Adam,800,32,2.171659,4.716102,2.533623
