EQUIPAMENTO,MANCAL,WINDOW,OUTPUT,NUM. CAMADAS,NUM. NEURONIOS CAMADA 1,NUM. NEURONIOS CAMADA 2,NUM. NEURONIOS CAMADA 3,DROUPOUT,OTIMIZADOR,EPOCHS,BATCH_SIZE,RMSE,MSE,MAPE
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,120,60,40,0.250000,Adam,800,32,34.192679,1169.139264,114.571338
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,120,60,40,0.250000,Adadelta,800,32,11.179530,124.981893,30.485254
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,120,60,40,0.300000,Adam,800,32,34.998290,1224.880295,117.262660
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,120,60,40,0.300000,Adadelta,800,32,10.697077,114.427452,28.973259
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,120,60,40,0.350000,Adam,800,32,35.769535,1279.459643,119.843595
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,120,60,40,0.350000,Adadelta,800,32,10.323350,106.571558,27.765547
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,80,80,60,0.200000,Adam,800,32,34.816647,1212.198896,116.652188
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,80,80,60,0.200000,Adadelta,800,32,10.596393,112.283548,28.536165
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,80,80,60,0.250000,Adam,800,32,35.883285,1287.610167,120.217293
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,80,80,60,0.250000,Adadelta,800,32,11.026470,121.583037,29.897454
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,80,80,60,0.300000,Adam,800,32,34.183544,1168.514656,114.547639
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,80,80,60,0.300000,Adadelta,800,32,10.229281,104.638186,27.346437
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,80,80,60,0.350000,Adam,800,32,35.692057,1273.922939,119.585794
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,80,80,60,0.350000,Adadelta,800,32,10.795679,116.546685,29.231046
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,150,80,80,0.200000,Adam,800,32,35.433506,1255.533339,118.701086
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,150,80,80,0.200000,Adadelta,800,32,6.140384,37.704316,15.123229
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,150,80,80,0.250000,Adam,800,32,36.808601,1354.873096,123.295868
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,150,80,80,0.250000,Adadelta,800,32,7.891117,62.269723,20.809062
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,150,80,80,0.300000,Adam,800,32,37.480417,1404.781625,125.531054
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,150,80,80,0.300000,Adadelta,800,32,10.783285,116.279244,28.706382
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,150,80,80,0.350000,Adam,800,32,36.107725,1303.767771,120.957069
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,150,80,80,0.350000,Adadelta,800,32,11.369853,129.273547,30.965836
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,120,60,40,0.200000,Adam,800,32,37.091907,1375.809602,124.234918
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,120,60,40,0.200000,Adadelta,800,32,8.386562,70.334428,22.208706
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,120,60,40,0.250000,Adam,800,32,36.205211,1310.817331,121.284900
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,120,60,40,0.250000,Adadelta,800,32,10.491627,110.074234,28.317597
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,120,60,40,0.300000,Adam,800,32,35.795855,1281.343261,119.914338
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,120,60,40,0.300000,Adadelta,800,32,9.326615,86.985749,25.051399
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,120,60,40,0.350000,Adam,800,32,35.744234,1277.650299,119.748294
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,120,60,40,0.350000,Adadelta,800,32,9.686232,93.823081,25.621972
